title,source,source_url,comments_count,tag,chinese_tag,label,abstract,behot_time,nowtime,duration
史上最惨的跳水之王 从2699降至699，被网友狂吐槽！,小强视频能手,https://www.toutiao.com//group/6589045381886116360/,103,news_tech,科技,"['国美', '锤子科技', '跳水', 'HTC', '联发科技']",网友一：扬声器，用来听歌简直刺耳，而且声音简直低的吓人，连得无线网时不时断掉，显示和验证身份错误，跑到无线网跟前都不会自动连的网友二：价格与其它机一样，可性能与其它相差万里之外。,2018-10-02 21:16:07,2018-10-02 23:37:35,8488.98236489296
华为EMUI 8.2系统全新升级，看看智慧到底在哪里,小手机大科技,https://www.toutiao.com//group/6582805409931723277/,169,news_tech,科技,"['华为手机', '软件', 'GPU', '魅族', '手机']",不知道大家是否还记得，去年华为曾经再发布会上，讲过这么一句话，华为的系统用500天都不会卡顿，我向大家保证。,2018-10-02 21:11:07,2018-10-02 23:37:42,8795.796179056168
8款小众但逆天的APP，让你的手机瞬间变成黑科技！,手机教授,https://www.toutiao.com//group/6602029282925478404/,483,news_tech,科技,"['软件', '睡眠', '读书', '社交网络', 'Google']",如今每个人的手机中都安装着各种各样的App，来满足我们日常工作、生活、学习、出行、购物、社交等各方面的需求。,2018-10-02 21:06:07,2018-10-02 23:37:42,9095.79659485817
颠覆未来世界的十大科技,科学出版社,https://www.toutiao.com//group/6585687584515555848/,59,news_tech,科技,"['动物', 'Google', '科幻片', '癌症', 'Google眼镜']",终于，随着科技的不断发展与进步，他们终于变成了现实，走进了我们身边，下面我们共同盘点一下颠覆世界的十大未来科技。,2018-10-02 21:01:07,2018-10-02 23:37:42,9395.79671907425
小黄车人去楼空，财务“跑路”！押金还能不能退了？,管理会计CMA,https://www.toutiao.com//group/6605717371313193485/,308,news_tech,科技,"['移动互联网', '美团网', '创业', '滴滴打车', '蚂蚁金服']",雷军说，如果站在风口，连猪都能飞上天;刘强东说，飞上天的猪，死得会更快。但寒冬对所有事物一视同仁，与被收购之后好歹有了美团这棵大树可以依靠的摩拜，没能踩对节奏的ofo。,2018-10-02 20:56:07,2018-10-02 23:37:42,9695.79682302475
一夜之间，大家都不想换手机了？网友的话扎心了,换号啦换号,https://www.toutiao.com//group/6604605793146782215/,573,digital,数码,"['经济', '手机', '数码']",手机市场的寒冬来得比以往更快一些，手机市场呈现过剩状态，一夜之间，大家都不想换手机了。今年下半年手机厂商并不好过，如何吸引消费者赚取利润成为手机厂商的当务之急。,2018-10-02 20:51:07,2018-10-02 23:37:42,9995.79692697525
李嘉诚的最大劲敌：一年豪赚2500亿，国内却没人知道它的存在,中国食安,https://www.toutiao.com//group/6605060148350157326/,85,news_tech,科技,"['怡和洋行', '李嘉诚', '九龙仓集团', '包玉刚', '威廉·渣甸']",我们都知道，世界500强企业中，中国入选企业的绝大多数为央企，比如国家电网、中石化、中石油等。一旦入选就意味着它的实力必将十分惊人，比如华为，年收入6000亿，员工人均年薪70万！,2018-10-02 20:46:07,2018-10-02 23:37:42,10295.797038078308
为什么国人天天用微信，在国外却没什么人用？网友：原因有三个,生命万岁4,https://www.toutiao.com//group/6606193255413449229/,181,news_tech,科技,"['移动互联网', '微信', '软件', 'WhatsApp', '腾讯QQ']",现在国内的手机市场也不再是国外进口手机横行，国产手机也渐渐开始崛起，有不少国产手机品牌都深的消费者的喜爱，如华为小米等。,2018-10-02 20:41:07,2018-10-02 23:37:42,10595.797507047653
小米开始卖近视眼镜咯，最低299一副，最高支持 1200 度,光明君,https://www.toutiao.com//group/6594681526670066179/,116,news_tech,科技,['科技'],刚才扫了一下小米官网，发现这家竟然开始卖近视眼镜啦。这款近视镜由捷耐拓光学科技有限公司发货并提供售后，适合200-1200度近视用户。,2018-10-02 20:36:07,2018-10-02 23:37:42,10895.79773902893
有哪些让你相见恨晚的APP？,悟空问答,https://www.toutiao.com//group/6543055679492456711/,88,news_tech,科技,,分享六款让你相见恨晚的App，每款都是你需要的。AZ  Screen Recorder﻿AZ  Screen Recorder是安卓手机的一款强大录屏软件，也许是安卓免费最强录制屏幕软件它不仅免费，而且不需要root，就可以直接无水印录制手机屏幕。,2018-10-02 20:31:07,2018-10-02 23:37:42,11195.79791688919
古代没有指纹识别技术，为什么还要按手印？,历史货,https://www.toutiao.com//group/6597268114746901005/,57,news_tech,科技,"['智能手机', '科技']",大家可能不知道，中国是应用指纹最早的国家，比如像是签字画押，就要利用指纹，这么做有什么科学依据吗。按下指纹后一旦食言，就会招致神灵的惩罚，所以不敢轻易违反，像是让犯人简单地按个手印，也意味着他已经彻底承认所犯下的罪，因此很多被冤枉的人，就算是死也不愿画押。,2018-10-02 20:26:07,2018-10-02 23:37:42,11495.798201084137
